Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python,R,spark,aws,excel,job_simp,seniority,desc_len,num_comp
Data Scientist,$216K-$234K (Glassdoor est.),"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,216.0,234.0,225.0,ManTech,VA,0,52,0,0,0,0,0,data scientist,na,3490,0
Data Scientist,$77K-$90K (Glassdoor est.),"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,77.0,90.0,83.5,Affinity Solutions,NY,1,22,1,0,0,0,1,data scientist,na,2728,3
Data Scientist,$94K-$119K (Glassdoor est.),"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

352521

Locations: Chicago, IL; Mt. Olive, NJ

What you’ll do

Inspiring the whole Mars business to adopt data driven decision-making by developing advanced analytics methods is huge in your role. How? By mining vast amounts of data from company databases for insights that will help solve business problems and ultimately make Mars more profitable.

Working in a small multidisciplinary team alongside the Global Analytics, Data Engineering, Business Translation and AI teams, you’ll partner with Product Owners to solve problems that real users face using advanced digital techniques. That also means closely collaborating with users from our segments and markets around the world to find the right problems to solve. More than that, you’ll use this direct user exposure to invent true ‘firsts’. That’s new and emerging approaches that Mars, and maybe even the industry, haven’t seen before.

A big part of your role will be choosing the most appropriate technique, based on business need and available data, to develop custom data models and algorithms. As part of that, you’ll also create processes and tools to monitor and analyze model performance and data accuracy. All the time, balancing time to deliver with level of detail and accuracy.

Working with different functional teams, you’ll implement your models and monitor their outcomes – making sure we’re conforming to data security standards at all times. Thinking about the newest technology, you’ll make sure we’re maximizing our efficiency and productivity and provide subject matter expertise across the business whenever it’s needed.

What you’ll need

To do all this, you’ll need:
Bachelor’s degree in Analytics or related quantitative fields (statistics, Operations research, mathematics, econometrics etc.). An advanced degree is preferred.
MInimum of 3 years of experience preferred working with modelling techniques and advanced applied skills. For example, significance testing, GLM/Regression, Random Forest, Boosting, Trees, text mining and social network analysis, using tools like Spark, Scala, SAS, R, Python, Bayesia, H2O, Storm, Yarn, and Kafka2-3 years experience in applied data science role or equivalent. Ideally, it would be in CPG, Telecom or Financial services
Experience using key external third party data sources including Nielsen/ IRI/ Storeviews, Kantar, Homescan Panel, Retail Execution, Shopper card, first party data and consumer surveys
Experience querying databases (SQL, Hive) and working with big data platforms such as Hadoop ecosystem (Azure), including in-memory solutions (SAP HANA and Apache Spark)
Working knowledge of data visualization tools such as Tableau, Power BI, D3, ggplot, to deliver output to the broader business community to improve decision making and productivity
Strong communication and presentation skills
#LI-SG1

Mars is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. If you need assistance or an accommodation during the application process because of a disability, it is available upon request. The company is pleased to provide such assistance, and no applicant will be penalized as a result of such a request.

Job Segment:
Database, Scientific, Telecom, Telecommunications, ERP, Technology, Engineering

Apply now »",3.9,"Mars
3.9","Chicago, IL","Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,94.0,119.0,106.5,Mars,IL,0,109,1,0,1,0,0,data scientist,na,3548,0
Data Scientist,$83K-$106K (Glassdoor est.),"ESSENTIAL FUNCTIONSinclude the following. Other duties may be assigned.
Recommends beneficial use cases of data science employing statistical and machine learning models, as well as optimization and simulation methods. Correctly designs experiments and tests hypotheses using proper methods. Employs innovative approaches to analysis.
Collaborates with team members to promote and incorporate data science insights with business partnerships.
Designs and executes SQL queries, both ad hoc and within views, to access data for exploration and modeling. Conducts exploratory data analysis, Prepares data for analysis, appropriately handling missing data and imputation, transformations, and feature generation.
Employs appropriate statistical and machine learning models to data sets to identify patterns in the data and provide insight into our membership. Assumptions and limitations of the methods and algorithms used are noted. Tunes models through selection of optimal model parameters. Compares multiple models and makes suitable selections. Gauges model performance through the use of appropriate accuracy metrics.
Implements a variety of methods and algorithms relating to segmentation, market basket analysis, text analytics, forecasting, and behavioral analytics to identify and provide value to Wings membership.
Implements standardized DevOps practice to implement new models and maintain existing models to ensure continued validity of use.
Translates predictive results into prescriptive insights, communicates outcomes in an understandable way.
Creates effective data visualizations and dashboards to deliver insights to business decision makers.
Prepares requirements documents. Documents modeling process. Creates case study documentation and materials.
Continues education and keeps abreast of latest developments in data science methods. Engages in maturing the data science knowledge of team members. Provides tactical guidance on the application of data science techniques and models to meet business needs.
Build quality relationships with key members of the various business units while clarifying information& analytics needs across business lines.
Assists Manager– Data Solutions in developing and executing Data Science Roadmap.
STANDARDS OF PERFORMANCE:
Complies with Bank Secrecy Act/Anti-Money Laundering/CIP (U.S. Patriot Act) procedures and policies.
Follows Wings Financial CU’s“Standards of Professionalism” to represent the credit union to members in a professional manner through written and verbal communications, attitude, business attire, work area, and thorough knowledge of our products and services.
Meets individual quality service goals as identified in your performance action plan.
Be an effective team member through cooperation, flexibility, dependability, attendance, lack of tardiness and participation at meetings and training.


QUALIFICATIONS:To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

EDUCATION and EXPERIENCE:
5-7 years’ data science experience required with excellent analytical skills.
Master's Degree in data science, statistics, mathematics or computer science Preferred
5 years’ experience with Python language required. R and Azure ML experience is a plus.
Demonstrated business acumen by working with business units to define and understanding business problems and solutions.
Experience in the implementation models through API’s or micro-services to support the integration and application of Data Science with business solutions.
Experience in the application of statistical and machine learning models to business processes.
Demonstrated knowledge of advanced analytical functions such as clustering, correlation, forecasting, and market basket analysis. Excellent analytic, organization, presentation and facilitation skills.
Very strong customer focus and relationship skills.
Working knowledge of BI Development processes& awareness of BI technologies. Knowledge of Tableau or similar data visualization software preferred.
Working knowledge of computer software (i.e. Windows, Microsoft Office, Visio).
Awareness of Project Management methodologies and processes. Understanding of the CRISP-DM process.
Awareness and understanding of DevOps processes.
PHYSICAL DEMANDS / WORK ENVIRONMENT: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

While performing the duties of this job, the employee is regularly required to talk or hear. The employee is frequently required to stand, walk and sit. The employee is occasionally required to use hands to finger, handle, or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 50 lbs, frequently 5-10 lbs. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception, ability to adjust focus. The noise level in the work environment is usually quiet.

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",3.6,"Wings Financial CU
3.6","Apple Valley, MN","Saint Paul, MN",501 to 1000 employees,1939,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,83.0,106.0,94.5,Wings Financial CU,MN,0,81,1,0,0,0,1,data scientist,na,5295,0
Data Analytics Engineer,$46K-$78K (Glassdoor est.),"Analytics Engineer-Administration
Summa Health System
Full-time, w/benefits

Summa Health System is recognized as one of the region’s top employers by a number of third party organizations, including NorthCoast 99. Exceptional candidates gravitate to Summa because of its culture, passion for delivering excellent service to our patients and families commitment to our philosophy of servant leadership, collegial working relationships at every level of the organization and competitive pay and benefits.

Summary:
Works with a team of technologists (Data Engineers and Visualization Engineers) to deliver insights across various aspects of Summa Health’s operational, financial, and clinical activities with the goal of leveraging data to drive and realize the full potential of the organization’s programs.

Minimum Qualifications:

Formal Education Required:
-Bachelor’s degree in computer science, applied mathematics, statistics, or related discipline

Experience & Training Required:
-Five (5) years of experience in a previous analytics role in healthcare domain involving healthcare data analysis to optimize business operations
-Knowledgeable about the workings of integrated healthcare systems, health plan, research, and community programs
-Experience in analyzing healthcare data using statistical methods to optimize business operations and communicating their findings using data visualization and detailed reports

Other Skills, Competencies and Qualifications:
-Analytical mindset with good problem-solving skills
-Excellent written and verbal communication skills
-Acumen for analytics needs of an integrated health system how to use data to achieve those needs.
-Ability to effectively interact with populations of patients/customers with an understanding of their needs for self-respect and dignity
-Ability to summarize results and develop effective business presentations.
-Ability to interact with populations both technical and non-technical, with an understanding of their needs for self-respect and dignity
-Strong, critical thinker with ability to extend knowledge of information systems and applications to business processes and to cross team collaboration. Ability to explain complex, technical concepts to lay audiences and non-IT staff.
-Basic knowledge of data warehousing, data marts
-Experience with one or more Summa application platforms is desirable including Soarian Financials, DSS, HQ/HI, Epic/CarePATH and tools (RWB, Clarity, Caboodle, Radar, SlicerDicer, Registries), CostFlex, e-ClinicalWorks, GE Centricity, Lawson, Pentaho, SAS, Tableau.

1. Work with senior leaders within a line of business and across the enterprise to establish a measurement plan focused on outcomes
2. Work as a data strategist to identify and integrate datasets, data components, and attributes from various information systems to leverage information for business programs and objectives
3. Communicate, advise senior leaders about utilizing all relevant data, including clinical, operational, exposome, social determinate, economic and financial, to drive programmatic growth and achieve strategic outcomes
4. Gather baseline data information to understand current state and improvement opportunity
5. Identify data requirements based on analytical processes to measure the outcomes
6. Conduct descriptive/statistical analysis of the data set to validate hypothesis
7. Define the business requirements / specifications and user interface (Wireframes and Mockups)
8. Work with other members of CoE to develop mission control dashboards that measures the timely performance to outcome
9. Validate, deploy mission control dashboards
10. Educate Mission end users and advocate adoption of analytical tools
11. Support rolling out new insights, which are a result of discovery and exploratory exercises conducted, by citizen data analysts / scientists.
12. Ensuring that mission control insights remain relevant to achieving the desired outcome
13. Confirming that stakeholders are utilizing mission control in pursuit of that outcome
14. Surfacing new insights to drive continuous improvement
15. Communicate findings to stakeholders; implement improvement efforts as needed.




Level of Physical Demands:
Light: Exerts up to 20 pounds of force occasionally and/or up to ten pounds of force frequently, and/or a negligible amount of force continuously.
#LI-AV1",3.8,"Summa Health System
3.8","Akron, OH","Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,0,0,46.0,78.0,62.0,Summa Health System,OH,1,94,0,0,0,1,1,na,na,4377,0
Data Scientist,$102K-$106K (Glassdoor est.),"POSITION SUMMARY:

The Data Scientist is a highly motivated and experienced individual who likes to work in a multi-disciplinary team.The Data Scientist will be instrumental in the analysis and interpretation of high-throughput molecular data.Additionally, the individual in this role should have solid Data Sciences background and be strongly goal-oriented with a focus on real-world impact.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Statistical and bioinformatics analyses of high-throughput molecular data
Interaction with internal and external collaborators to understand, design and develop the requested solutions
Development and execution of data analysis protocols to support company's discovery pipeline
Presentation of scientific results internally and externally
Preparation and submission of scientific manuscripts for review and publication
Other duties as assigned
REQUIREMENTS:
Requires a PhD in Bioinformatics, Statistics, Applied Math, Computer Sciences or related field with a 0-3 years of experience; or a MS with 5-7 years of industry experience
Proficiency in R is required. Experience in Bioconductor is preferred
Experience in Linux and Big Data technologies
Experience in Scala, C, Python and MySQL is a plus
Experience in working with NGS is a plus
Proven ability to find creative and practical solutions to complex problems
Proven experience in applying Data Science methodologies to extract, process and transform data from multiple sources
Proven ability to deliver outputs in a comprehensive format that highlights major trends, avoid miss-interpretations and value the conclusions
Proven ability to demonstrate attention to detail and record keeping
Quick learner, extremely flexible and adaptable to the needs of internal collaborators in a dynamic environment
Ability to efficiently work in multiple projects
Excellent communication and interpersonal skills
Must be able to work in a team-oriented environment",2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,102.0,106.0,104.0,Berg Health,MA,1,14,1,0,0,0,1,data scientist,na,1939,0
Data Analyst - eCommerce,$65K-$79K(Employer est.),"Data Analyst - eCommerce
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158
As one of the largest e-commerce websites in the country, uline.com provides a vital service that millions of users depend on. Our e-commerce team puts a lot of heart into making it the easiest website to navigate and place orders.
Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screen.

Position Responsibilities
Serve as a team subject matter expert in digital analytics, tag management solutions and e-commerce optimization testing tools.
Consult with internal teams on how to best leverage analytics to make informed business decisions.
Utilize tools such as Google Analytics, BigQuery, SQL and PowerBI to generate reports and visual dashboards.
Facilitate meetings to explain analysis and digital analytic performance.
Leverage Google Tag Manager to implement analytics, events and custom dimensions to measure success.
Manage A/B and multivariate testing tools, such as Google Optimize.
Lead process in identifying future third-party partners by investigating industry leaders and providing recommendations.
Minimum Requirements
Bachelor's degree.
2+ years in e-commerce experience or a related field preferred.
Prior experience in one or more of the following preferred: (web analytics, tag management solutions, SQL, dashboard visualization and A/B Testing).
Strategic and tactical business skills and a passion for using tools to drive better decision making.
Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with a 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.
Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.
About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-JF1",3.2,"Uline
3.2","Milwaukee, WI","Pleasant Prairie, WI",5001 to 10000 employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,"The Home Depot, Foxconn, Amazon",0,0,65.0,79.0,72.0,Uline,WI,0,40,0,0,0,0,0,analyst,na,2777,3
Data Scientist,$31K-$63K (Glassdoor est.),"Overview


Are you passionate about changing the world through machine learning and location intelligence? If yes, then it’s the right time to join our team because we are about to do so!

With the IoT revolution (30 billion sensors by 2020), the consumerization of mapping, and location data growing exponentially day after day, location is becoming extremely important to more and more people. We want to enable organizations and businesses to go beyond basic visualization and analytics of such massive data, to the realm of being two or three steps ahead of the game by extracting advanced levels of intelligence from it, predicting important events, and automating significant proportions of their work through AI and machine learning.

We are looking for an entrepreneurial, collaborative person with strong hands-on experience and solid track record with statistical analysis, machine learning, predictive analytics, software engineering, and passion for location to help us on our mission to build world class predictive location analytics solutions for our customers in 160+ countries.

Responsibilities:
Build high-quality prediction systems that solve our customers' business problems by applying data mining and machine learning techniques; doing statistical analysis; and exploring, interpreting, and analyzing datasets for patterns of interest
Work closely with different teams on understanding our customers’ needs to craft and pitch machine learning use cases to them
Model business problems to machine learning ones, mapping business data to dependent and independent features, doing proper feature engineering, iterating with different predictive models, conducting hyper parameter optimization to yield highest prediction accuracy, and deploying the model to production
Help build the data science and machine learning capability inside Esri: develop best practices and patterns for geospatial machine learning, develop reusable technical components for demos and POCs, and identify and help establish needed technology stack and infrastructure
Keep up to date with latest technology trends in machine and deep learning and quickly learn about new frameworks/techniques to be used in projects delivery
Requirements
2+ years of practical machine learning experience, some of which is within established technical organizations
Self-learner with strong communication skills (writing markdown README files, blogs, or how-to instructions)
Experience with applied statistics skills such as distributions, statistical testing, and regression
Software engineering, continuous integration and lifecycle management
Writing in Python, Java, Scala and extensive use of unit tests, Git, and Docker
Ability to perform data extraction, transformation, loading from multiple data sources and sinks
Experience in data visualization such as in Tableau or Jupyter Notebooks
Model building and hyper parameter tuning
Experience with deploying software on AWS, Azure, or other cloud service
Experience in machine learning with deep learning and other supervised, unsupervised, and reinforcement learning methods
Have a fundamental understanding of ML algorithms such as back propagation, ReLU, Bayes, Random Forests, etc.
Experience dealing with massive data sets using big data tools
Experience with time series analysis
Bachelor's in mathematics, statistics, computer science, or related field, depending on position level (master's or PhD preferred)
Recommended Qualifications:
Experience with spatial and GIS concepts
Experience with CUDA/GPU programming
Familiarity with one or more of the following: Hadoop HDFS, Spark, Accumulo, Presto, MongoDB, Elastic Search, Cassandra, HBase, R, Mahout, Pig, and Hive, DC/OS, Kubernetes
#LI-MS1
The Company


Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.

Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.

Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

If you need a reasonable accommodation for any part of the employment process, please email humanresources@esri.com and let us know the nature of your request and your contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.",3.6,"Esri
3.6","Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,31.0,63.0,47.0,Esri,CA,1,51,1,0,1,1,0,data scientist,na,5000,1
Data Scientist,$61K-$99K (Glassdoor est.),"New England Biolabs is seeking a Data Scientist to build, improve and utilize the varied and complex data sources we use to make excellent biological products.

NEB provides a world-class working environment including high quality computational infrastructure, skilled colleagues, and opportunities to exchange knowledge with internal and external scientists.

Primary Responsibilities:

Construct, extend, and maintain scientific software tools used at NEB to study enzymes and their activities. Collaborate with members of the Research, Product Development, Production, and Quality Control groups to identify patterns and trends in quantitative scientific data.

Required Qualifications and Experience:
Degree in a computational field and meaningful experience working with varied and complex datasets.
Software development skills (Ruby, Python, R, or others).
Appreciation for simple, high-quality, maintainable software.
Enthusiasm for data modeling, storage and visualization.
Demonstrated oral and written communication skills.
Strong work ethic, emphasizing both efficiency and quality of work.
Accessible evidence of software development history (e.g., GitHub).
Passion for learning.
Interest in applications of biologically derived tools to address important challenges.
Preferred Qualifications and Experience:
Expertise with high volume analysis of data from many sources.
Experience with virtualization technologies (kubernetes, cvmfs, lxc).
Experience with infrastructure automation tools (Ansible, Chef, Salt, etc.)
Modern web development skills (HTML5, Rails, Vue.js, etc.).
Cluster computing and scientific workflow frameworks (Galaxy, Nextflow, snakemake, CWL, etc.).
New England Biolabs, Inc. is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Disabled and Protected Veterans and a participating employer in the Employment Verification (E-Verify) program. More in-depth details of EEO are available here.

If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,61.0,99.0,80.0,New England Biolabs,MA,1,46,1,0,0,0,1,data scientist,na,2161,3
Principal Data Scientist (Computational Chemistry),$125K-$152K (Glassdoor est.),"At Recursion, we combine experimental biology, automation and artificial intelligence to quickly and efficiently identify treatments for human diseases. The Principal Data Scientist (Computational Chemistry) will identify and use computational chemistry methods, integrating them with machine learning and data science approaches to augment our AI platform, accelerate our current drug discovery programs, and lead towards the discovery of high value medicines.

THE PROBLEMS YOU'LL SOLVE

This is an individual contributor position reporting to the Director, Data Science, in which you'll help lead the expansion of Recursion's capabilities downstream of our high-throughput image-based phenotypic discovery platform. Specifically, you will collaborate with teams spanning data science, chemistry, and biology to apply ligand-based drug design techniques in the context of therapeutic project teams, and help guide methods development efforts in this area to complement a phenotypic-discovery-oriented process.

In this role you will:
Build. You will advance chemistry related R&D processes across Recursion's small molecule discovery programs by identifying and building computational tools to accelerate and automate them. You will apply the methods in hit to lead and lead optimization programs. In collaboration with chemistry, you will actively identify opportunities to contribute to Recursion's chemical space strategy, e.g. in evolving the screening library.
Guide, Create, and Question. Just because something has been done one way for decades doesn't mean it's optimal. You will bring new methods to bear while staying thoughtful about the value that exists from many tried and true approaches, and guide your peers in the implementation of a creative vision for computational chemistry in drug discovery.
Code. You are both a chemist and technologist at heart and won't be happy unless you are also writing code to be used throughout the organization.
THE EXPERIENCE YOU'LL NEED
Advanced degree in Computational Chemistry, Physical Organic Chemistry, Computer Science, Machine Learning, or relevant fields.
Experience in shaping and executing programs in computational medicinal chemistry and pharmacology as part of multidisciplinary teams.
Demonstrated contributions that changed the course of both active therapeutic candidate projects and longer-term research and development programs.
3+ years experience in developing ligand-based drug design methods, including pharmacophore modeling, QSAR, 3D-QSAR, and conformational analysis.
Experience in developing novel predictive models for DMPK/Tox in the context of active candidate programs is desirable.
Experience developing new methods and products in computational chemistry for virtual library assembly and screening
Experience in machine learning applied to chemistry, including both classical (e.g., matched-pairs and substructure analysis) and recent (e.g., representation learning and graph convolutional) methods.
Expertise programming in thePython data stack, including ML packages such as Scikit-Learn,PyTorch, and Tensorflow/Keras, in a Linux environment.
THE PERKS YOU'LL ENJOY
Coverage of health, vision, and dental insurance premiums (in most cases 100%)
401(k) with generous matching (immediate vesting)
Stock option grants
Two one-week paid company closures (summer and winter) in addition to flexible, generous vacation/sick leave
Commuter benefit and vehicle parking to ease your commute
Complimentary chef-prepared lunches and well-stocked snack bars
Generous paid parental leave (including adoptive)
Fully-paid gym membership to Metro Fitness, located just feet away from our new headquarters
Gleaming new 100,000 square foot headquarters complete with a 70-foot climbing wall, showers, lockers, and bike parking
WHAT WE DO

Recursion is reinventing the pharmaceutical industry's approach to drug discovery. Our unique platform combines the most advanced biology, high-throughput automation, and artificial intelligence to rapidly discover treatments for rare diseases, diverse immune and inflammatory diseases and new indications in the future.

Recursion is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. Recursion strictly prohibits and does not tolerate discrimination against applicants because of race, color, religion, creed, national origin or ancestry, ethnicity, sex, pregnancy, gender (including gender nonconformity and status as a transgender individual), age, physical or mental disability, citizenship, past, current, or prospective service in the uniformed services, or any other characteristic protected under applicable federal, state, or local law.

Check out what it is like to work at Recursion: https://www.youtube.com/watch?v=UpOENLieOd8",4.7,"Recursion Pharmaceuticals
4.7","Salt Lake City, UT","Salt Lake City, UT",51 to 200 employees,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,125.0,152.0,138.5,Recursion Pharmaceuticals,UT,1,7,1,0,0,1,0,data scientist,senior,4819,0
